.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
Arkansas,2016,24th,"16,432","37,765","927,320","220,336","34,605","1,354,944",15,439,62,"1,897",30,310,99,610,470,137,114,"35,755","7,981","10,111","12,864",,765,Peak Hours in Congestion Per Auto Commuter,1312.00%
California,2016,24th,"16,112","54,748","2,212,144","1,391,995","621,782","6,865,291",58,"1,183",66,"3,182",153,"1,262","1,968","6,451","3,338",966,"1,204","340,115","30,368","193,403","25,657",,"1,603",Peak Hours in Congestion Per Auto Commuter,6091.00%
Colorado,2016,24th,"9,899","25,055","1,130,916","363,083","133,714","2,122,027",42,648,31,"2,569",13,304,144,"1,068",562,138,217,"52,152","9,133","24,077","8,717",,488,Peak Hours in Congestion Per Auto Commuter,2734.00%
Connecticut,2016,24th,"4,057","10,722","1,039,596","174,570","375,577","2,242,643",1,29,2,119,8,317,71,710,245,8,129,"31,639","1,208","17,907","4,238",,332,Peak Hours in Congestion Per Auto Commuter,1977.00%
Delaware,2016,24th,"5,490","12,040","449,479","445,961","302,443","1,984,213",0,,0,118,5,41,13,195,107,17,33,"10,178","1,462","4,246",879,,39,Peak Hours in Congestion Per Auto Commuter,2821.00%
Florida,2016,24th,"12,193","44,237","6,099,136","1,022,865","344,169","10,665,463",1,706,3,"2,548",8,764,76,"3,874","2,910",792,"1,066","215,551","20,461","89,512","12,355",,265,Peak Hours in Congestion Per Auto Commuter,3387.00%
Georgia,2016,24th,"18,029","48,993","1,303,783","343,254","521,183","2,879,404",8,518,11,"2,164",18,682,50,"1,827","1,344",190,426,"122,802","13,891","44,838","14,863",,692,Peak Hours in Congestion Per Auto Commuter,5151.00%
Hawaii,2016,24th,"1,012","2,671","194,446","59,426","18,700","339,050",0,,5,78,12,55,44,266,118,23,61,"10,635",329,"4,620","1,135",,66,Peak Hours in Congestion Per Auto Commuter,1304.00%
Idaho,2016,24th,"4,992","12,335","299,863","97,399","30,230","732,362",7,519,14,"1,639",2,92,41,386,206,95,27,"17,199","5,025","3,972","4,492",,393,Peak Hours in Congestion Per Auto Commuter,1049.00%
Illinois,2016,24th,"16,742","44,374","4,220,642","750,060","172,616","6,372,315",2,"1,243",5,"2,354",7,942,236,"2,889",918,138,332,"107,314","13,075","45,865","26,775",,"2,303",Peak Hours in Congestion Per Auto Commuter,4399.00%
India,2016,24th,"11,215","28,980","1,355,349","703,307","102,703","2,274,192",23,664,21,"1,407",31,397,138,"1,476",708,174,140,"83,183","12,614","22,924","19,291",,"1,435",Peak Hours in Congestion Per Auto Commuter,1893.00%
Iowa,2016,24th,"9,503","24,305","928,893","208,480","64,412","1,338,370",10,584,97,"3,281",10,169,109,826,360,134,44,"33,337","11,197","7,283","24,215",,"5,067",Peak Hours in Congestion Per Auto Commuter,849.00%
Kansas,2016,24th,"10,531","24,564","780,185","131,488","68,089","1,305,754",1,639,7,"2,605",4,226,12,306,344,182,73,"32,103","8,166","7,441","25,001",,"2,115",Peak Hours in Congestion Per Auto Commuter,1221.00%
Kentucky,2016,24th,"28,220","63,345","1,657,291","467,006","31,019","2,903,066",2,622,5,"1,179",5,220,28,592,727,170,137,"49,313","13,371","12,327","14,280",,"1,110",Peak Hours in Congestion Per Auto Commuter,1721.00%
Louisia,2016,24th,"16,702","39,371","1,088,686","405,258","48,357","1,796,129",17,526,22,989,52,403,157,"1,033",642,99,200,"49,156","9,043","18,853","12,910",,"1,821",Peak Hours in Congestion Per Auto Commuter,1959.00%
Maine,2016,24th,"8,648","18,162","423,579","219,923","20,738","760,001",0,278,3,775,3,88,17,149,121,39,10,"14,838","3,870","2,151","2,458",,326,Peak Hours in Congestion Per Auto Commuter,950.00%
Maryland,2016,24th,"5,444","15,606","1,411,409","476,926","115,770","2,829,708",2,142,3,321,22,338,139,"1,003",428,28,223,"59,137","4,651","32,815","5,335",,300,Peak Hours in Congestion Per Auto Commuter,3949.00%
Massachusetts,2016,24th,"3,615","11,445","1,064,039","286,495","274,098","2,472,808",2,71,9,177,23,501,447,"1,820",334,4,193,"61,825","1,701","34,993","5,192",,482,Peak Hours in Congestion Per Auto Commuter,4424.00%
Michigan,2016,24th,"9,764","27,724","1,018,096","334,003","141,574","2,761,997",12,561,18,"2,119",52,680,395,"2,335",936,84,338,"99,433","11,928","41,642","11,180",,"1,175",Peak Hours in Congestion Per Auto Commuter,2363.00%
Minnesota,2016,24th,"13,516","33,648","1,403,704","412,789","157,713","2,380,246",12,560,38,"3,308",6,90,15,389,351,77,59,"59,029","10,965","17,821","13,329",,709,Peak Hours in Congestion Per Auto Commuter,3507.00%
Mississippi,2016,24th,"10,981","28,290","725,208","82,369","73,179","986,816",17,554,20,"1,783",15,253,125,956,625,237,6,"40,755","9,614","9,859","17,072",,"2,008",Peak Hours in Congestion Per Auto Commuter,1062.00%
Missouri,2016,24th,"33,981","77,966","759,083","476,822","72,380","1,834,835",6,842,7,"1,960",13,538,62,884,806,195,233,"74,019","15,102","25,415","24,487",,"3,086",Peak Hours in Congestion Per Auto Commuter,1631.00%
Monta,2016,24th,"10,995","25,084","445,024","126,282","54,558","734,931",9,"1,094",39,"2,773",2,98,34,254,160,82,10,"12,599","5,113","1,871","5,302",,515,Peak Hours in Congestion Per Auto Commuter,905.00%
Nebraska,2016,24th,"10,064","22,816","572,870","226,212","19,294","895,018",3,409,18,"1,380",2,64,50,222,163,81,21,"20,700","6,257","4,749","15,330",,"2,258",Peak Hours in Congestion Per Auto Commuter,975.00%
Nevada,2016,24th,"5,462","13,801","600,834","129,275","172,078","1,217,756",2,448,18,"1,499",5,150,13,352,285,57,93,"26,788","3,816","9,232","1,944",,31,Peak Hours in Congestion Per Auto Commuter,2178.00%
New Hampshire,2016,24th,"4,005","8,625","239,972","154,826","45,366","553,526",0,142,7,324,1,83,23,222,102,26,33,"13,513","2,286","4,683","2,479",,270,Peak Hours in Congestion Per Auto Commuter,1925.00%
New Jersey,2016,24th,"3,344","12,258","2,631,624","743,425","172,045","6,267,336",0,45,7,160,38,386,410,"1,800",527,24,303,"77,093","2,431","44,759","6,737",,596,Peak Hours in Congestion Per Auto Commuter,6972.00%
New Mexico,2016,24th,"12,148","30,070","392,440","14,396","290,461","847,597",11,841,19,"1,925",1,152,60,656,361,124,123,"27,886","7,942","6,791","3,999",,251,Peak Hours in Congestion Per Auto Commuter,1167.00%
New York,2016,24th,"16,442","41,869","4,288,149","1,517,616","473,742","9,021,379",27,786,27,"1,992",97,908,609,"2,895",653,237,198,"122,930","10,429","56,954","17,456",,"1,837",Peak Hours in Congestion Per Auto Commuter,6306.00%
North Caroli,2016,24th,"80,676","174,202","2,676,904","932,297","265,451","4,276,157",5,537,16,"1,507",15,683,163,"1,931","1,124",712,236,"116,749","14,537","40,692","18,183",,"1,854",Peak Hours in Congestion Per Auto Commuter,1480.00%
North Dakota,2016,24th,"7,433","17,273","549,947","28,619","23,191","639,513",1,510,19,"2,943",0,61,24,204,90,48,2,"9,739","3,806","1,435","4,377",,614,Peak Hours in Congestion Per Auto Commuter,852.00%
Ohio,2016,24th,"20,365","52,455","2,665,280","477,420","163,623","3,978,676",10,642,12,"1,517",40,931,331,"2,308",958,104,267,"118,608","15,073","45,070","27,345",,"1,653",Peak Hours in Congestion Per Auto Commuter,1915.00%
Oklahoma,2016,24th,"13,355","33,102","1,450,103","1,032,441","280,848","3,133,560",16,640,48,"2,216",21,285,180,"1,082",595,139,154,"49,013","10,611","14,763","23,071",,"3,234",Peak Hours in Congestion Per Auto Commuter,1200.00%
Oregon,2016,24th,"9,132","22,176","544,865","229,118","132,355","1,267,850",3,495,11,"2,656",7,234,60,854,463,167,78,"36,719","8,121","12,715","8,147",,444,Peak Hours in Congestion Per Auto Commuter,1213.00%
Pennsylvania,2016,24th,"41,659","92,510","4,658,248","1,526,224","500,340","9,355,427",17,"1,075",39,"1,560",37,779,376,"2,845",957,197,289,"101,362","16,521","39,111","22,779",,"4,173",Peak Hours in Congestion Per Auto Commuter,2429.00%
Rhode Island,2016,24th,"1,192","3,104","270,486","114,550","53,273","604,599",0,18,13,97,1,52,110,333,38,3,29,"7,927",603,"4,978",778,,181,Peak Hours in Congestion Per Auto Commuter,2100.00%
South Caroli,2016,24th,"41,534","90,887","741,114","276,198","119,105","1,204,659",8,546,41,"1,546",12,304,52,"1,064",921,266,182,"54,553","12,782","16,656","9,341",,926,Peak Hours in Congestion Per Auto Commuter,1353.00%
South Dakota,2016,24th,"9,431","21,735","326,422","85,135","67,373","515,118",6,570,37,"2,384",1,75,23,121,99,41,6,"9,507","3,966","1,296","5,818",,"1,081",Peak Hours in Congestion Per Auto Commuter,998.00%
Tennessee,2016,24th,"14,286","38,352","1,016,158","308,041","181,779","1,539,373",2,634,13,"1,778",11,548,108,"1,826",912,141,310,"76,884","12,869","30,114","20,169",,953,Peak Hours in Congestion Per Auto Commuter,2216.00%
Texas,2016,24th,"80,854","196,855","7,175,281","2,264,782","368,713","14,296,093",20,"2,001",35,"7,360",78,"1,434",752,"5,203","2,863",674,"1,204","271,263","40,933","127,487","53,869",,847,Peak Hours in Congestion Per Auto Commuter,3878.00%
Utah,2016,24th,"6,404","17,494","456,922","397,410","94,706","1,382,499",2,683,5,"1,162",5,253,17,650,244,75,84,"31,449","5,179","13,876","3,051",,87,Peak Hours in Congestion Per Auto Commuter,1339.00%
Vermont,2016,24th,"2,629","6,001","183,444","110,690","59,580","432,263",0,254,7,309,0,63,12,109,51,14,3,"7,382","1,960","1,126","2,772",,145,Peak Hours in Congestion Per Auto Commuter,1017.00%
Virginia,2016,24th,"58,861","127,976","2,014,981","1,747,168","402,217","4,847,144",3,598,6,"1,614",14,508,86,"1,354",648,166,138,"84,463","16,239","35,074","13,932",,825,Peak Hours in Congestion Per Auto Commuter,3272.00%
Washington,2016,24th,"15,497","40,593","1,930,114","700,937","221,254","3,681,891",25,429,16,"1,313",21,335,327,"1,422",485,71,173,"61,018","8,985","27,810","8,233",,399,Peak Hours in Congestion Per Auto Commuter,3746.00%
West Virginia,2016,24th,"34,689","71,585","830,046","353,215","97,531","1,404,828",3,306,23,"1,013",6,230,20,393,246,62,50,"19,539","4,629","5,847","7,228",,"1,372",Peak Hours in Congestion Per Auto Commuter,840.00%
Wisconsin,2016,24th,"11,740","29,707","1,553,075","256,391","205,464","2,773,930",21,506,109,"2,849",21,357,365,"1,891",514,142,87,"64,046","13,820","20,457","14,253",,"1,245",Peak Hours in Congestion Per Auto Commuter,1368.00%
Wyoming,2016,24th,"7,225","16,909","313,317","108,443","50,803","514,738",10,808,8,"1,947",6,106,22,212,98,58,13,"9,323","4,026","1,266","3,127",,310,Peak Hours in Congestion Per Auto Commuter,725.00%
Alabama,2017,,"11,085","30,069","792,071","15,040","197,468","1,468,572",5,562,10,"2,014",23,429,47,"1,273",848,203,180,"70,677","12,095","19,632","15,459",,"1,190",Peak Hours in Congestion Per Auto Commuter,
Alaska,2017,,"7,999","16,654","899,986","221,032","100,529","1,276,295",106,"1,001",117,522,2,78,11,134,68,24,22,"5,519","1,169","1,682","1,417",,152,,
Arizo,2017,,"11,219","32,538","996,308","155,632","238,383","2,311,268",16,900,8,"1,187",3,249,34,623,887,163,379,"65,070","10,285","23,747","7,024",,190,,
Arkansas,2017,,"16,457","37,854","1,225,591","207,277","35,905","1,670,242",9,438,33,"1,875",22,310,64,606,446,131,102,"36,389","8,264","10,256","12,306",,759,,
California,2017,,"16,109","54,736","1,865,537","1,511,149","657,121","6,733,414",58,"1,183",67,"3,182",155,"1,268","1,970","6,453","3,303",678,"1,362","343,862","30,304","192,901","24,446",,"1,538",,
Colorado,2017,,"9,908","25,150","959,208","427,225","173,377","1,603,755",36,648,25,"2,569",16,304,134,"1,068",579,133,232,"53,382","9,411","24,570","8,159",,454,,
Connecticut,2017,,"4,058","10,722","938,453","235,590","84,961","1,880,282",0,29,1,122,6,317,78,712,244,15,100,"31,500","1,215","17,788","4,159",,329,,
Delaware,2017,,"5,503","12,064","508,042","467,828","307,948","1,717,058",-,-,0,99,5,40,14,212,98,17,25,"10,467","1,225","4,677",879,,39,,
Florida,2017,,"12,194","5,156","5,677,789","1,156,733","358,307","9,776,500",0,682,3,"2,551",6,700,77,"3,842","2,137",321,"1,011","218,826","21,063","90,850","11,778",,260,,
Georgia,2017,,"18,071","33,367","1,629,104","592,434","768,008","4,340,800",9,537,10,"2,408",17,710,109,"2,367","1,343",186,467,"124,733","13,886","46,269","14,441",,690,,
Hawaii,2017,,"1,012","47,704","293,475","65,024","18,784","662,708",-,-,6,78,12,55,43,264,101,21,47,"10,749",343,"4,580","1,112",,65,,
Idaho,2017,,"20,387","2,500","307,131","125,471","32,306","561,736",5,520,10,"1,619",1,91,28,337,165,102,30,"17,300","5,153","4,003","4,216",,388,,
Illinois,2017,,"16,717","54,107","3,544,877","794,463","254,738","5,749,579",15,"1,243",28,"2,354",33,942,304,"2,888",982,132,335,"108,011","13,522","46,742","25,897",,"2,240",,
India,2017,,"11,612","43,183","1,304,272","734,500","107,030","2,866,590",22,728,14,"1,451",26,425,168,"1,598",772,197,163,"81,752","12,868","23,348","18,354",,"1,416",,
Iowa,2017,,"9,494","29,707","1,034,361","213,488","58,935","1,434,726",11,591,76,"3,231",9,170,100,828,267,92,31,"33,482","11,378","7,206","23,846",,"5,066",,
Kansas,2017,,"10,527","22,146","448,251","137,327","41,127","939,008",4,639,6,"2,619",6,234,15,310,333,177,70,"32,258","8,232","7,530","24,480",,"2,110",,
Kentucky,2017,,"28,246","23,648","1,370,672","406,144","31,867","2,195,016",5,598,7,"1,171",6,217,38,605,652,135,129,"49,239","13,269","12,379","13,896",,"1,097",,
Louisia,2017,,"16,702","66,581","1,151,091","417,038","48,351","2,093,780",18,520,24,966,55,395,154,953,635,93,185,"49,221","9,257","18,983","12,329",,"1,809",,
Maine,2017,,"8,643","35,043","509,858","255,905","21,400","881,841",2,279,36,774,1,87,15,146,143,38,18,"14,738","3,891","2,151","2,294",,320,,
Maryland,2017,,"5,447","24,809","1,451,730","405,612","113,189","3,412,145",2,142,3,321,24,338,153,"1,003",488,28,259,"60,045","4,718","33,342","5,150",,299,,
Massachusetts,2017,,"3,645","17,318","1,756,843","325,635","281,549","3,800,561",1,63,4,105,19,510,440,"1,944",294,5,161,"62,660","1,217","35,675","5,103",,480,,
Michigan,2017,,"9,686","10,349","1,235,729","328,873","146,389","2,277,886",14,561,16,"2,130",55,682,396,"2,362",879,80,336,"101,757","12,656","42,302","10,779",,"1,163",,
Minnesota,2017,,"13,627","24,128","1,056,937","484,409","146,065","2,128,665",12,588,43,"3,454",15,325,25,616,316,77,60,"59,971","11,149","18,169","13,037",,704,,
Mississippi,2017,,"11,004","35,139","860,884","80,804","60,797","1,131,926",9,569,22,"1,783",11,253,117,950,627,171,123,"40,877","9,698","9,777","16,532",,"2,004",,
Missouri,2017,,"33,996","25,261","758,828","494,387","73,815","1,997,177",5,842,7,"1,879",13,538,69,867,815,135,261,"75,911","15,450","25,760","24,012",,"3,061",,
Monta,2017,,"15,257","77,642","401,266","123,349","59,945","670,114",19,"1,075",39,"2,765",2,97,38,252,154,97,6,"12,645","5,172","1,902","4,555",,483,,
Nebraska,2017,,"10,074","34,607","545,976","199,848","16,347","840,949",3,414,40,"2,331",3,68,76,269,178,62,37,"21,002","6,282","4,921","15,118",,"2,258",,
Nevada,2017,,"5,725","25,267","732,140","150,277","182,989","1,250,025",4,447,2,"1,523",3,155,19,368,270,55,96,"27,587","3,983","9,609","1,625",,30,,
New Hampshire,2017,,"4,009","12,361","260,665","164,293","62,766","581,759",-,142,5,323,0,83,23,224,78,17,30,"13,681","2,330","4,770","2,272",,269,,
New Jersey,2017,,"3,135","14,731","2,301,582","736,431","180,258","8,395,655",0,45,7,160,38,387,401,"1,801",535,27,301,"77,509","2,419","44,907","6,671",,594,,
New Mexico,2017,,"19,905","7,746","381,462","99,036","274,027","928,843",6,845,23,"1,936",2,153,68,681,337,110,126,"29,680","8,104","6,761","3,415",,241,,
New York,2017,,"16,478","50,639","4,018,762","1,623,208","479,742","8,474,413",25,801,30,"2,043",96,931,753,"3,009",564,212,175,"123,732","10,662","58,369","16,861",,"1,778",,
North Caroli,2017,,"80,963","35,589","3,069,561","1,113,309","315,593","5,186,712",8,551,13,"1,556",22,721,128,"1,915",993,739,182,"119,176","15,383","41,884","17,835",,"1,846",,
North Dakota,2017,,"7,433","188,303","613,462","28,805","22,115","696,857",2,510,21,"2,941",1,61,23,209,80,48,6,"9,717","3,755","1,448","4,229",,611,,
Ohio,2017,,"20,368","19,150","2,406,441","464,757","94,689","3,803,300",13,643,11,"1,513",41,930,382,"2,425",994,118,281,"119,598","15,443","45,779","26,511",,"1,648",,
Oklahoma,2017,,"13,353","50,571","1,593,750","520,937","268,472","2,853,334",13,646,44,"2,239",19,283,195,"1,158",566,126,125,"49,402","10,799","14,620","22,472",,"3,226",,
Oregon,2017,,"9,169","32,420","924,356","291,763","159,947","2,001,116",3,495,11,"2,652",7,234,55,836,414,152,60,"36,753","8,110","12,760","7,784",,441,,
Pennsylvania,2017,,"41,656","20,363","3,356,765","1,730,214","551,539","9,469,210",23,"1,086",35,"1,593",41,775,349,"2,798",924,199,292,"101,614","17,047","39,295","21,759",,"4,138",,
Rhode Island,2017,,"1,195","108,379","187,377","114,471","61,377","465,156",-,18,12,97,1,52,112,337,58,10,39,"8,001",602,"5,055",765,,180,,
South Caroli,2017,,"41,506","2,617","1,071,722","305,668","132,565","1,577,812",15,546,21,"1,546",19,304,49,"1,064",910,287,165,"55,497","13,024","16,818","8,992",,909,,
South Dakota,2017,,"9,596","95,993","263,593","79,204","64,837","446,323",6,591,30,"2,592",2,88,10,137,112,49,5,"9,643","4,047","1,334","5,485",,"1,076",,
Tennessee,2017,,"14,286","25,790","989,681","284,867","249,090","1,563,981",2,644,3,"1,721",9,554,77,"1,834",910,165,305,"82,253","13,050","31,341","19,345",,931,,
Texas,2017,,"80,838","34,860","8,716,364","2,080,156","435,356","14,617,442",14,"1,990",33,"8,345",47,"1,442",769,"5,731","3,435",641,"1,399","272,981","42,131","126,715","51,649",,843,,
Utah,2017,,"6,253","217,725","563,953","476,509","85,631","1,539,429",3,684,10,"1,150",5,253,20,649,243,50,103,"31,475","5,372","14,121","2,633",,87,,
Vermont,2017,,"2,629","14,272","180,091","116,821","74,526","451,203",1,255,8,329,0,64,10,123,57,12,11,"7,424","2,045","1,195","2,517",,142,,
Virginia,2017,,"58,979","5,718","1,887,760","1,691,858","438,033","4,727,444",4,598,5,"1,616",13,508,75,"1,330",747,159,175,"85,263","16,608","35,272","13,048",,804,,
Washington,2017,,"15,510","154,439","2,095,538","946,354","271,838","4,264,772",27,429,16,"1,313",21,335,332,"1,419",503,82,183,"61,420","9,071","28,049","7,932",,363,,
West Virginia,2017,,"34,685","32,011","817,454","320,752","70,028","1,288,945",4,319,18,"1,015",6,235,19,396,271,72,55,"19,072","4,562","5,723","6,823",,"1,338",,
Wisconsin,2017,,"11,745","87,804","1,279,547","261,666","188,779","2,451,184",18,512,80,"2,876",24,364,401,"1,942",515,129,107,"65,324","14,259","20,851","13,611",,"1,221",,
Wyoming,2017,,"7,225","27,538","320,608","99,851","43,955","506,165",10,807,7,"1,977",6,106,21,218,99,56,16,"9,785","4,087","1,341","2,365",,266,,
Alabama,2018,,"11,086","30,145","1,606,033","168,665","281,616","2,204,734",7,567,11,"2,025",23,432,38,"1,288",953,174,191,"71,167","12,171","19,576","16,130",,689,Hours Lost to Congestion,1900.00%
Alaska,2018,,"8,452","17,609","711,226","238,691","92,309","1,121,497",118,"1,002",108,479,2,79,11,139,80,23,26,"5,487","1,136","1,684","1,592",,155,Hours Lost to Congestion,500.00%
Arizo,2018,,"11,233","32,595","1,106,242","151,558","243,328","1,929,778",21,915,13,"1,168",5,250,31,618,"1,010",153,352,"66,145","10,462","24,497","8,294",,150,Hours Lost to Congestion,3100.00%
Arkansas,2018,,"29,804","68,688","1,200,279","206,080","36,690","1,617,436",9,439,21,"1,877",16,310,43,610,516,143,126,"36,675","8,319","10,244","12,892",,588,Hours Lost to Congestion,1200.00%
California,2018,,"15,996","55,398","4,578,573","1,757,965","859,223","10,279,095",35,"1,177",61,"3,232",106,"1,256","1,904","6,660","3,563",495,"1,563","348,796","31,805","192,934","25,737",,"1,812",Hours Lost to Congestion,4500.00%
Colorado,2018,,"9,891","25,113","1,108,022","517,619","283,484","1,985,234",44,648,18,"2,569",15,304,126,"1,068",632,138,229,"53,954","9,535","24,972","8,786",,473,Hours Lost to Congestion,3700.00%
Connecticut,2018,,"4,059","10,739","905,748","276,546","79,786","1,843,418",0,29,2,122,7,318,82,712,294,9,138,"31,596","1,226","17,909","4,270",,308,Hours Lost to Congestion,2800.00%
Delaware,2018,,"5,508","12,074","557,243","471,368","328,835","1,702,070",,,0,98,4,41,16,213,111,23,28,"10,179","1,040","4,566",863,,34,Hours Lost to Congestion,5000.00%
Florida,2018,,"12,193","44,752","6,681,407","1,347,286","372,062","10,704,723",4,717,4,"2,616",18,778,87,"3,951","3,133",349,"1,058","221,816","21,799","91,683","12,435",,328,Hours Lost to Congestion,3400.00%
Georgia,2018,,"18,060","49,652","1,602,348","636,562","651,334","3,970,671",10,537,8,"2,319",17,710,62,"2,313","1,504",114,477,"131,456","14,617","45,439","14,879",,494,Hours Lost to Congestion,4200.00%
Hawaii,2018,,"1,016","2,682","192,775","60,106","18,764","354,347",,,5,78,11,55,44,269,117,23,60,"10,887",348,"4,619","1,137",,78,Hours Lost to Congestion,400.00%
Idaho,2018,,"18,110","44,766","426,560","137,845","33,507","795,256",6,522,5,"1,541",1,93,13,259,231,83,43,"17,709","5,329","4,050","4,482",,315,Hours Lost to Congestion,100.00%
Illinois,2018,,"16,739","44,315","3,455,712","811,649","191,868","5,688,884",14,"1,243",40,"2,353",46,940,312,"2,873","1,031",136,328,"107,954","13,531","46,318","26,809",,"2,273",Hours Lost to Congestion,4900.00%
India,2018,,"11,507","29,713","1,302,795","921,201","109,084","2,661,285",34,771,17,"1,937",38,500,52,"1,152",858,184,155,"81,529","14,154","23,354","19,280",,"1,203",Hours Lost to Congestion,3200.00%
Iowa,2018,,"9,520","24,430","1,102,172","222,046","56,988","1,527,617",6,585,80,"3,387",6,165,107,893,318,111,31,"33,282","11,378","7,219","24,123",,"4,675",Hours Lost to Congestion,200.00%
Kansas,2018,,"10,527","24,563","481,822","144,880","55,717","1,052,092",3,639,7,"2,627",7,234,16,311,404,166,37,"32,190","8,289","7,425","24,906",,"1,288",Hours Lost to Congestion,1100.00%
Kentucky,2018,,"28,245","63,507","1,167,549","455,203","32,394","2,220,736",7,709,5,"1,214",6,231,32,614,724,156,114,"49,544","13,450","12,305","14,368",,"1,016",Hours Lost to Congestion,1300.00%
Louisia,2018,,"16,707","39,387","860,465","431,533","52,967","2,197,525",18,526,36,982,51,400,156,968,768,80,234,"50,045","9,703","19,270","12,899",,"1,678",Hours Lost to Congestion,3500.00%
Maine,2018,,"8,639","18,121","440,207","251,712","23,621","811,205",4,279,45,794,1,87,17,129,137,32,3,"14,784","3,994","2,102","2,473",,325,Hours Lost to Congestion,3300.00%
Maryland,2018,,"5,454","15,660","1,548,445","533,009","111,749","4,130,655",2,142,3,320,23,338,157,"1,008",501,15,240,"59,775","4,702","33,239","5,357",,274,Hours Lost to Congestion,4700.00%
Massachusetts,2018,,"3,659","11,642","1,756,843","325,635","281,549","3,800,561",1,64,2,105,18,508,457,"1,947",360,6,165,"66,772","1,234","37,550","5,215",,481,Hours Lost to Congestion,4800.00%
Michigan,2018,,"9,693","27,492","1,231,419","364,033","130,651","2,301,032",19,558,15,"2,130",62,673,391,"2,358",974,89,320,"102,398","12,787","42,334","11,228",,"1,196",Hours Lost to Congestion,2600.00%
Minnesota,2018,,"13,662","34,047","991,426","534,527","178,705","2,202,770",11,588,37,"3,454",17,325,26,615,381,66,52,"60,438","11,312","18,154","13,358",,668,Hours Lost to Congestion,3600.00%
Mississippi,2018,,"11,014","28,471","710,243","114,338","58,463","1,012,829",10,578,18,"1,783",8,253,105,949,664,172,111,"40,730","9,922","9,878","17,071",,"1,603",Hours Lost to Congestion,900.00%
Missouri,2018,,"33,991","78,059","919,865","510,621","79,177","2,049,615",5,842,8,"1,879",13,538,71,868,921,188,218,"76,595","15,429","25,506","24,512",,"2,116",Hours Lost to Congestion,2000.00%
Monta,2018,,"15,266","34,879","446,364","129,164","37,597","686,895",13,"1,094",45,"2,773",2,98,40,254,182,83,4,"12,700","5,219","1,912","5,265",,390,Hours Lost to Congestion,1400.00%
Nebraska,2018,,"10,075","22,853","546,366","202,015","19,263","845,626",4,412,31,"2,128",3,67,65,247,230,76,27,"20,975","6,343","4,933","15,349",,"1,358",Hours Lost to Congestion,700.00%
Nevada,2018,,"5,664","14,376","762,411","151,440","172,819","1,273,410",5,450,1,"1,519",5,155,13,365,330,72,102,"28,319","4,170","9,793","1,979",,27,Hours Lost to Congestion,1800.00%
New Hampshire,2018,,"4,009","8,656","279,037","110,348","110,127","581,345",,142,4,323,0,83,21,223,147,36,30,"13,776","2,332","4,796","2,494",,224,Hours Lost to Congestion,2700.00%
New Jersey,2018,,"3,149","11,553","2,932,895","789,778","176,741","6,595,141",1,45,8,160,35,387,418,"1,799",564,14,319,"77,539","2,385","44,559","6,746",,544,Hours Lost to Congestion,4000.00%
New Mexico,2018,,"19,937","49,205","439,747","48,639","259,769","1,402,420",10,843,22,"1,915",4,156,88,672,391,112,110,"27,288","8,082","6,979","4,010",,232,Hours Lost to Congestion,1700.00%
New York,2018,,"16,535","41,836","2,895,878","2,225,236","392,860","8,529,348",22,793,40,"2,068",65,890,759,"3,049",943,209,189,"123,510","10,823","58,553","17,521",,"1,757",Hours Lost to Congestion,2900.00%
North Caroli,2018,,"81,104","175,249","3,835,043","1,056,714","254,865","5,979,824",6,560,13,"1,558",14,740,120,"1,964","1,437",569,322,"121,127","15,842","42,337","18,377",,"1,871",Hours Lost to Congestion,2500.00%
North Dakota,2018,,"7,463","17,367","263,882","28,615","20,515","349,343",2,510,24,"2,943",1,61,23,207,105,54,7,"9,856","3,843","1,453","4,355",,469,Hours Lost to Congestion,300.00%
Ohio,2018,,"20,385","52,565","2,098,321","525,240","283,315","3,870,269",10,643,11,"1,523",37,931,415,"2,435","1,068",107,254,"114,474","15,534","45,787","27,277",,"1,518",Hours Lost to Congestion,2100.00%
Oklahoma,2018,,"13,412","33,301","1,334,489","597,790","262,996","2,612,007",13,645,47,"2,206",18,285,47,506,655,123,125,"45,433","10,774","14,606","23,116",,"2,540",Hours Lost to Congestion,1600.00%
Oregon,2018,,"9,126","22,171","924,356","291,763","159,947","2,001,116",3,495,13,"2,657",8,234,58,853,506,154,82,"36,848","8,352","12,897","8,161",,422,Hours Lost to Congestion,3800.00%
Pennsylvania,2018,,"41,653","92,537","4,126,697","1,819,408","559,112","10,947,650",25,"1,074",24,"1,517",52,788,372,"2,860","1,190",140,352,"102,109","17,046","40,170","22,737",,"3,770",Hours Lost to Congestion,4300.00%
